id,title,metaDescription,char_count
advanced-scheduling,"Advanced Scheduling Automation, Run Tasks Only on Business Days by Country",Advanced Scheduling Automation using Python. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,135
agent-text-summarizer,"Summarize Text with an AI Agent, Generate Multilingual Summaries in Short, Medium, or Long Format",Summarize Text with an AI Agent using Google Gemini. Automate intelligent workflows without custom AI infrastructure. Open-source and ready to use.,147
ai-add-tasks-deepseek,Convert Natural Language Prompts to Structured Todoist Tasks with Deepseek AI,Convert Natural Language Prompts to Structured Todoist Tasks with Deepseek AI. Automate intelligent workflows without custom AI infrastructure.,143
ai-agent-calling-flows,Trigger the Right Automation with an AI Agent Based on User Intent,Trigger the Right Automation with an AI Agent Based on User Intent using Google Gemini. Automate intelligent workflows without custom AI infrastructure.,152
ai-book-summary-perplexity,Generate a book chapter summary using Perplexity AI and email it.,Generate a book chapter summary using Perplexity AI and email it. Automate intelligent workflows without custom AI infrastructure. Open-source and ready to use.,160
ai-check-weather-gemini,"Decide When to Take Action Using AI, Check Real-Time Weather and Trigger Automations",Decide When to Take Action Using AI using Google Gemini and Slack. Automate intelligent workflows without custom AI infrastructure.,131
ai-daily-digest-email-anthropic,Generate and Send a Personalized AI-Powered Daily Digest Email Every Morning,Generate and Send a Personalized AI-Powered Daily Digest Email Every Morning using Anthropic. Automate intelligent workflows without custom AI infrastructure.,158
ai-gdpr-breach-notification,Draft GDPR Breach Notifications for Supervisory Authorities and Data Subjects,"Draft GDPR Breach Notifications for Supervisory Authorities and Data Subjects using AI, HubSpot, and Python. Automate compliance workflows. Open-source.",152
ai-gdpr-compliance-audit,Run an AI-Powered GDPR Compliance Audit with Structured Findings and Executive Summary,Run an AI-Powered GDPR Compliance Audit with Structured Findings using AI Agent. Automate compliance reviews without custom infrastructure. Open-source.,152
ai-gdpr-dpa-reviewer,Review Data Processing Agreements Against GDPR Article 28 Requirements,"Review Data Processing Agreements Against GDPR Article 28 using AI Agent, Python, and Slack. Automate compliance reviews. Open-source and ready to use.",151
ai-gdpr-dpia-assistant,Conduct a GDPR Data Protection Impact Assessment (DPIA) with RAG on Official Legal Texts,Conduct a GDPR Data Protection Impact Assessment with RAG on official legal texts using Python. Automate compliance workflows. Open-source and ready to use.,156
ai-gdpr-privacy-policy-analyzer,Analyze Privacy Policies and Cookie Notices for GDPR and ePrivacy Compliance,Analyze Privacy Policies and Cookie Notices for GDPR and ePrivacy Compliance using AI Agent. Automate intelligent workflows without custom AI infrastructure.,157
ai-learning-roadmap-n8n,AI Learning Roadmap Generator with n8n,AI Learning Roadmap Generator with n8n using Python. Automate intelligent workflows without custom AI infrastructure. Open-source and ready to use.,147
ai-notion-summary-perplexity,Generate a Daily AI News Summary and Publish It to Notion with Slack Alerts,Generate a Daily AI News Summary and Publish It to Notion with Slack Alerts using Perplexity. Automate intelligent workflows without custom AI infrastructure.,158
ai-summarize-weekly-git-commits,Summarize Weekly Git Commits with AI and Send a Development Report to Slack,Summarize weekly Git commits with OpenAI and post a dev report to Slack. Keep teams aligned on code progress effortlessly. Open-source and ready to use.,152
airbyte-cloud-dbt-cloud,Build an ETL Pipeline with Airbyte Cloud and dbt Cloud for SaaS Analytics,Build an ETL Pipeline with Airbyte Cloud and dbt Cloud for SaaS Analytics. Automate this process reliably. Open-source and ready to use.,136
airbyte-cloud-dbt,Build an ETL Pipeline with Airbyte Cloud and dbt Core for SaaS Analytics,Build an ETL Pipeline with Airbyte Cloud and dbt Core for SaaS Analytics using Git. Automate this process reliably. Open-source and ready to use.,145
airbyte-cloud-sync,Run a Scheduled ETL Sync with Airbyte Cloud,Run a Scheduled ETL Sync with Airbyte Cloud. Automate this process reliably and focus on what matters. Open-source and ready to use.,132
airbyte-sync-parallel-with-dbt,Build an ETL Pipeline with Parallel Airbyte Syncs and dbt Core Transformations,Build an ETL Pipeline with Parallel Airbyte Syncs and dbt Core Transformations using Git. Automate this process reliably. Open-source and ready to use.,151
airbyte-sync-parallel,Run Parallel ETL Ingestion with Airbyte to Sync Multiple Data Sources,Run Parallel ETL Ingestion with Airbyte to Sync Multiple Data Sources. Automate this process reliably and focus on what matters. Open-source and ready to use.,158
airflow-trigger-dag,Trigger an Airflow DAG,Trigger an Airflow DAG. Automate this process reliably and focus on what matters. Open-source and ready to use.,111
ansible-config-drift,"Security & Compliance, Detect and Alert on Infrastructure Configuration Drift with Ansible",Detect and Alert on Infrastructure Configuration Drift with Ansible. Automate security compliance and reduce manual toil. Open-source and ready to use.,151
ansible-deploy-configuration,"Ansible Scalability, Deploy Configuration Files to Multiple Servers at Scale","Ansible Scalability, Deploy Configuration Files to Multiple Servers at Scale. Automate cloud operations without writing glue code. Open-source and ready to use.",160
ansible-local-message,"Ansible 101, How to Orchestrate and Run a Simple Ansible Playbook","Ansible 101, How to Orchestrate and Run a Simple Ansible Playbook. Automate this process reliably and focus on what matters. Open-source and ready to use.",154
api-json-to-postgres,"Extract data, transform it, and load it in parallel to S3 and Postgres — in less than 7 seconds!",Extract data using Python. Automate this process reliably and focus on what matters. Open-source and ready to use.,114
api-python-sql,"Build an ETL Pipeline from a REST API Using Python, Polars, and DuckDB",Build an ETL Pipeline from a REST API Using Python using Docker. Automate this process reliably and focus on what matters. Open-source and ready to use.,152
apify-to-notion,Run Apify actor and update Notion,Run Apify actor and update Notion. Automate this process reliably and focus on what matters. Open-source and ready to use.,122
argocd-app-management,Manage an Argo CD Application with Sync Verification,Manage an Argo CD Application with Sync Verification using Kubernetes. Automate this process reliably and focus on what matters. Open-source and ready to use.,158
argocd-single-tenant-wave-rollout,"Single-tenant Argo CD rollout with waves, guarded sync strategy, and Status-based readiness gates",Single-tenant Argo CD rollout with waves. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,132
audit-logs-csv-export,Export Kestra audit logs as a CSV file and send out via Email.,Export Kestra audit logs as a CSV file and send out via Email using Schedule. Master Kestra workflow patterns. Open-source and ready to use.,140
auditlogs-to-bigquery,Stream kestra audit logs from a Kafka topic to BigQuery for analytics and troubleshooting,Stream kestra audit logs from a Kafka topic to BigQuery for analytics and troubleshooting. Automate cloud operations without writing glue code.,143
aws-batch-terraform-git,"High-Performance Computing, Run Parallel Python Workloads on AWS Batch with ECS Fargate",High-Performance Computing using Git and Terraform. Automate cloud operations without writing glue code. Open-source and ready to use.,134
aws-event-bridge,Publish Application and System Events to AWS EventBridge for Event-Driven Architectures,Publish Application and System Events to AWS EventBridge for Event-Driven Architectures. Automate cloud operations without writing glue code.,141
aws-kinesis-json,Stream JSON and Application Events to AWS Kinesis Data Streams at Scale,Stream JSON and Application Events to AWS Kinesis Data Streams at Scale. Automate cloud operations without writing glue code. Open-source and ready to use.,155
aws-lambda,Microservice orchestration: invoke multiple AWS Lambda functions in parallel,Microservice orchestration: invoke multiple AWS Lambda functions in parallel using Shell. Automate cloud operations without writing glue code.,142
aws-log-shipper,Automatically Ship Workflow and System Logs to AWS CloudWatch,Automatically Ship Workflow and System Logs to AWS CloudWatch using Schedule. Automate cloud operations without writing glue code. Open-source and ready to use.,160
azure-blob-to-bigquery,Automate Cross-Cloud ETL from Azure Blob Storage to BigQuery with dbt Cloud,Automate Cross-Cloud ETL from Azure Blob Storage to BigQuery with dbt Cloud. Automate this process reliably. Open-source and ready to use.,138
build-aws-ecr-image,AWS ECR CI/CD Build and Push Docker Images to AWS Elastic Container Registry,AWS ECR CI/CD Build and Push Docker Images to AWS Elastic Container Registry. Automate cloud operations without writing glue code. Open-source and ready to use.,160
build-gcp-artifact-registry-image,"Google Cloud CI/CD, Build and Push Docker Images to Google Cloud Artifact Registry",Google Cloud CI/CD. Automate cloud operations without writing glue code. Open-source and ready to use.,102
business-automation,Getting started with Kestra — a Business Automation workflow example,Getting started with Kestra — a Business Automation workflow example. Get up and running with Kestra in minutes. Open-source and ready to use.,142
business-processes,Getting started with Kestra — a Business Processes workflow example,Getting started with Kestra — a Business Processes workflow example using Slack. Get up and running with Kestra in minutes. Open-source and ready to use.,153
caching,Cache a computationally expensive task in an ETL pipeline using the taskCache property,Cache a computationally expensive task in an ETL pipeline using the taskCache property using DuckDB. Master Kestra workflow patterns.,133
cassandra-to-bigquery,Build an ETL Pipeline from Cassandra to BigQuery Using CSV Export,Build an ETL Pipeline from Cassandra to BigQuery Using CSV Export. Automate this process reliably and focus on what matters. Open-source and ready to use.,154
chat-with-your-data,Build a Chat-With-Your-Data System Using Elasticsearch and OpenAI (RAG),Build a Chat-With-Your-Data System Using Elasticsearch and OpenAI (RAG). Automate intelligent workflows without custom AI infrastructure.,137
ci-cd-for-kestra-flows,"CI/CD for Kestra, Deploy and Manage Flows from GitHub Using Webhooks",CI/CD for Kestra using Shell. Automate this process reliably and focus on what matters. Open-source and ready to use.,117
ci-cd-github-webhook,"CI/CD with GitHub Webhooks, Process Pull Request Events and Test Locally with JSON Payloads",CI/CD with GitHub Webhooks using Python and Docker. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,142
cloudquery-aws,Ingest AWS Resource Metadata into Postgres Using CloudQuery for Security and Governance Analysis,Ingest AWS Resource Metadata into Postgres Using CloudQuery for Security and Governance Analysis. Automate cloud operations without writing glue code.,150
cloudquery-sync-hn-to-parquet,"Data Ingestion Pipeline, Sync Hacker News Data to CSV Files Using CloudQuery",Sync Hacker News Data to CSV Files Using CloudQuery on a Schedule. Automate this process reliably and focus on what matters. Open-source and ready to use.,154
cloudquery-sync,Schedule CloudQuery Data Ingestion into DuckDB for Analytics and Exploration,Schedule CloudQuery Data Ingestion into DuckDB for Analytics and Exploration. Automate this process reliably. Open-source and ready to use.,139
copy-flows-to-new-tenant,"Multi-Tenant CI/CD, Promote Kestra Flows Across Environments and Tenants Automatically",Multi-Tenant CI/CD using Schedule. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,125
copyin-postgres,Bulk Load CSV Data into PostgreSQL Using COPY for Fast ETL Ingestion,Bulk Load CSV Data into PostgreSQL Using COPY for Fast ETL Ingestion. Automate this process reliably and focus on what matters. Open-source and ready to use.,157
couchbase-to-pandas,Extract Data from Couchbase and Transform It with Pandas for Analytics,Extract Data from Couchbase and Transform It with Pandas for Analytics using Python. Automate this process reliably. Open-source and ready to use.,146
create-github-issue-on-failure,Automatically Create a GitHub Issue When a Workflow or Job Fails,Automatically Create a GitHub Issue When a Workflow or Job Fails. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,156
create-hubspot-ticket-on-failure,Create HubSpot Tickets Automatically for Incident Management,Create HubSpot Tickets Automatically for Incident Management. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,152
create-jira-ticket-on-failure,Create Jira Issues Automatically for Incident Management,Create Jira Issues Automatically for Incident Management. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,148
create-linear-issue-on-failure,Create Linear Issues Automatically for Incident Management,Create Linear Issues Automatically for Incident Management. Automate this process reliably and focus on what matters. Open-source and ready to use.,147
create-pagerduty-alert-on-failure,Trigger PagerDuty Alerts Automatically for Incident Response,Trigger PagerDuty Alerts Automatically for Incident Response. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,152
create-repository,Create and Manage GitHub Repositories with Terraform for CI/CD Best Practices,Create and Manage GitHub Repositories with Terraform for CI/CD Best Practices. Automate this process reliably. Open-source and ready to use.,140
create-vm-gcp-terraform,"Provision Google Cloud VMs with Terraform, IPAM, and Slack Notifications",Provision Google Cloud VMs with Terraform using Python. Automate this process reliably and focus on what matters. Open-source and ready to use.,143
create-zendesk-ticket-on-failure,Create a ticket in Zendesk when a workflow fails,Create a ticket in Zendesk when a workflow fails. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,140
csv-duckdb-slack,Run scheduled sales analytics on CSV data with DuckDB and post results to Slack,Run scheduled sales analytics on CSV data with DuckDB and post results to Slack. Automate this process reliably. Open-source and ready to use.,142
dagster-trigger-job,Trigger a Dagster Job,Trigger a Dagster Job. Automate this process reliably and focus on what matters. Open-source and ready to use.,110
daily-shopify-stripe-summary,Automate daily e-commerce reporting by syncing Shopify orders and Stripe balance to Notion and Slack,Automate daily e-commerce reporting by syncing Shopify orders and Stripe balance to Notion and Slack. Automate this process reliably.,133
data-engineering-pipeline,Getting started with Kestra — a Data Engineering Pipeline example,Getting started with Kestra — a Data Engineering Pipeline using Python and DuckDB. Get up and running with Kestra in minutes. Open-source and ready to use.,155
data-pipeline-assets,"Build governed analytics assets with DuckDB using data lineage, staging, and mart layers",Build governed analytics assets with DuckDB using data lineage. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,154
databricks-sql,Query Databricks SQL and process lakehouse data with Python and Pandas,Query Databricks SQL and process lakehouse data with Python and Pandas. Automate this process reliably and focus on what matters. Open-source and ready to use.,159
datadog-log-shipper,Ship Kestra execution logs to Datadog for centralized observability,Ship Kestra execution logs to Datadog for centralized observability. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,159
datagen-mongodb,Generate mock JSON data and send the file to MongoDB,Generate mock JSON data and send the file to MongoDB. Automate this process reliably and focus on what matters. Open-source and ready to use.,141
dbt-bigquery,Run dbt transformations on Google BigQuery from Git for analytics ETL,Run dbt transformations on Google BigQuery from Git for analytics ETL using Docker. Automate this process reliably. Open-source and ready to use.,145
dbt-duckdb,Run dbt transformations on DuckDB from Git for local analytics and ELT,Run dbt transformations on DuckDB from Git for local analytics and ELT using Docker. Automate this process reliably. Open-source and ready to use.,146
dbt-git-docker-duckdb,Run dbt ELT pipelines with DuckDB from Git using Docker,Run dbt ELT pipelines with DuckDB from Git using Docker. Automate this process reliably and focus on what matters. Open-source and ready to use.,144
dbt-motherduck,Run dbt ELT pipelines on MotherDuck from Git using Docker,Run dbt ELT pipelines on MotherDuck from Git using Docker. Automate this process reliably and focus on what matters. Open-source and ready to use.,146
dbt-postgres,Run dbt ELT pipelines on Postgres from Git using Docker,Run dbt ELT pipelines on Postgres from Git using Docker. Automate this process reliably and focus on what matters. Open-source and ready to use.,144
dbt-redshift,Run dbt models on Amazon Redshift directly from a Git repository,Run dbt models on Amazon Redshift directly from a Git repository using Docker. Automate this process reliably. Open-source and ready to use.,140
dbt-snowflake,Execute dbt transformations on Snowflake using a Git-based workflow,Execute dbt transformations on Snowflake using a Git-based workflow using Docker. Automate this process reliably. Open-source and ready to use.,143
debezium-mysql-realtime-trigger,Monitor MySQL DELETE events in real time with Debezium and send Slack alerts,Monitor MySQL DELETE events in real time with Debezium and send Slack alerts. Automate this process reliably. Open-source and ready to use.,139
discord-alert,Send a Discord message when a production workflow fails,Send a Discord message when a production workflow fails. Eliminate repetitive manual tasks and reclaim your time. Open-source and ready to use.,143
dlt-elt-chess-api-to-duckdb,Run a scheduled ELT pipeline in Python: extract Chess.com API data and load it into DuckDB with dltHub,Run a scheduled ELT pipeline in Python: extract Chess.com API data and load it into DuckDB with dltHub using Docker. Automate this process reliably.,148
dlt-google-analytics-to-duckdb,Build a Python ELT pipeline to extract Google Analytics data and load it into DuckDB with dlt,Build a Python ELT pipeline to extract Google Analytics data and load it into DuckDB with dlt using Docker. Automate this process reliably.,139
dlt-json-to-duckdb,Build a Python pipeline to load JSON API data into DuckDB using dlt,Build a Python pipeline to load JSON API data into DuckDB using dlt using Docker. Automate this process reliably. Open-source and ready to use.,143
dlt-pipedrive-to-bigquery,Load Pipedrive CRM data into BigQuery with a scheduled dlt pipeline,Load Pipedrive CRM data into BigQuery with a scheduled dlt pipeline using Python and Docker. Automate this process reliably. Open-source and ready to use.,154
dlt-zendesk-to-duckdb,Ingest Zendesk data into DuckDB using dlt,Ingest Zendesk data into DuckDB using dlt using Python and Docker. Automate this process reliably and focus on what matters. Open-source and ready to use.,154
dlt-zendesk-to-weaviate,Ingest Zendesk data into Weaviate using dlt,Ingest Zendesk data into Weaviate using dlt using Python and Docker. Automate this process reliably and focus on what matters. Open-source and ready to use.,156
download-parquet-from-databricks,Download a Parquet file from Databricks DBFS and process it with Python,Download a Parquet file from Databricks DBFS and process it with Python using Docker. Automate this process reliably. Open-source and ready to use.,147
dremio-sql-python,Query data from Dremio and process it in Polars with a Python script,Query data from Dremio and process it in Polars with a Python script using Docker. Automate this process reliably. Open-source and ready to use.,144
druid-to-pandas,Fetch data from Apache Druid and transform it in Python with Pandas,Fetch data from Apache Druid and transform it in Python with Pandas. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,159
druid-to-redshift,Query data from Druid and load it to Redshift,Query data from Druid and load it to Redshift. Automate cloud operations without writing glue code. Open-source and ready to use.,129
duckdb-query,"Analyze salaries of data professionals using a SQL query in DuckDB, extract the results to a CSV file",Analyze salaries of data professionals using a SQL query in DuckDB. Automate this process reliably and focus on what matters. Open-source and ready to use.,155
dwh-and-analytics,Getting started with Kestra — a Data Warehouse and Analytics workflow example,"Getting started with Kestra — a Data Warehouse and Analytics workflow example using Git, dbt, and Docker. Automate this process reliably.",137
elastic-esql-query-to-python-pandas-dataframe,Run Elastic ESQL query and read the data as a Pandas DataFrame,Run Elastic ESQL query and read the data as a Pandas DataFrame using Elasticsearch and Python. Master Kestra workflow patterns. Open-source and ready to use.,157
elasticsearch,Load and search data using Elasticsearch,Load and search data using Elasticsearch. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,132
elt-notification-telegram,"Run a dbt job and Hightouch sync, send a Telegram message on workflow completion",Run a dbt job and Hightouch sync using Git and Docker. Automate this process reliably and focus on what matters. Open-source and ready to use.,142
error-logs,"Error Handling & Observability, Send  Detailed Failure Context to Slack",Error Handling & Observability. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,122
every-monday,Run a flow on the first Monday of each month at 11 AM,Run a flow on the first Monday of each month at 11 AM using Schedule. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,160
explain-error-with-llm,Explain Workflow Failures with OpenAI and Send Insights to Slack,Explain Workflow Failures with OpenAI and Send Insights to Slack using Python. Automate intelligent workflows without custom AI infrastructure.,143
extract-load-mysql,Create table and load data to MySQL using SQL - using taskDefaults to eliminate boilerplate code,Create table and load data to MySQL using SQL - using taskDefaults to eliminate boilerplate code. Automate this process reliably. Open-source and ready to use.,159
extract-load-postgres,Run DDL queries and load data to Postgres,Run DDL queries and load data to Postgres. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,133
failure-alert-discord,Set up alerts for failed workflow executions using Discord,Set up alerts for failed workflow executions using Discord. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,150
failure-alert-email,Set up alerts for failed workflow executions using Email,Set up alerts for failed workflow executions using Email. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,148
failure-alert-gmail,Set up alerts for failed workflow executions using Gmail,Set up alerts for failed workflow executions using Gmail. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,148
failure-alert-googlechat,Send a Google Chat notification when a workflow fails,Send a Google Chat notification when a workflow fails. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,145
failure-alert-sentry-1,Set up alerts for failed workflow executions using Sentry,Set up alerts for failed workflow executions using Sentry. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,149
failure-alert-sentry,Send an alert to Sentry when any flow fails in the company namespace,Send an alert to Sentry when any flow fails in the company namespace. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,160
failure-alert-slack,Set up alerts for failed workflow executions using Slack,Set up alerts for failed workflow executions using Slack. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,148
failure-alert-teams,Set up alerts for failed workflow executions using Microsoft Teams,Set up alerts for failed workflow executions using Microsoft Teams. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,158
failure-alert-twilio,Send Twilio notification when a workflow fails,Send Twilio notification when a workflow fails. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,138
failure-alert-zenduty,Set up alerts for failed workflow executions using Zenduty,Set up alerts for failed workflow executions using Zenduty. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,150
file-processing,"Download a ZIP file, unzip it, and convert it from CSV to Parquet","Download a ZIP file, unzip it, and convert it from CSV to Parquet. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.",157
fivetran-dbt-cloud,"Trigger multiple Fivetran syncs in parallel, then run a dbt Cloud job","Trigger multiple Fivetran syncs in parallel, then run a dbt Cloud job. Automate this process reliably and focus on what matters. Open-source and ready to use.",158
fivetran-sync-parallel-dbt-core,"Trigger multiple Fivetran syncs in parallel, then run a dbt job",Trigger multiple Fivetran syncs in parallel using Git. Automate this process reliably and focus on what matters. Open-source and ready to use.,142
flow-condition-executionflow,Executes flow on flow trigger with ExecutionFlow condition,Executes flow on flow trigger with ExecutionFlow condition. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,150
flow-condition-executionlabels,Executes flow on flow trigger with ExecutionLabels condition,Executes flow on flow trigger with ExecutionLabels condition. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,152
flow-condition-executionnamespace,Executes flow on flow trigger with ExecutionNamespace condition,Executes flow on flow trigger with ExecutionNamespace condition using Slack. Master Kestra workflow patterns. Open-source and ready to use.,139
flow-condition-executionstatus,Executes flow on flow trigger with ExecutionStatus condition,Executes flow on flow trigger with ExecutionStatus condition using Slack. Master Kestra workflow patterns. Open-source and ready to use.,136
flow-condition-hasretryattempt,Executes flow on flow trigger with HasRetryAttempt condition,Executes flow on flow trigger with HasRetryAttempt condition using Slack. Master Kestra workflow patterns. Open-source and ready to use.,136
flow-condition-not,Executes flow on flow trigger with Not condition,Executes flow on flow trigger with Not condition. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,140
flow-downstream,Trigger a flow when other flows finish successfully,Trigger a flow when other flows finish successfully. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,143
generate-pdf-with-gotenberg,"Generate PDF files from HTML, Markdown, Word or Excel using Gotenberg",Generate PDF files from HTML using Shell. Eliminate repetitive manual tasks and reclaim your time. Open-source and ready to use.,128
generate-seo-summary,Generate an SEO summary of an article using HTTP REST API and OpenAI plugins,Generate an SEO summary of an article using HTTP REST API and OpenAI plugins. Automate intelligent workflows without custom AI infrastructure.,142
get-all-namespaces,Retrieve all namespaces from a Kestra instance via REST API,Retrieve all namespaces from a Kestra instance via REST API. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,151
git-flows-files-kv-sync-from-gitlab,"Sync Flows, Files, and KV Stores from GitLab with GitOps Best Practices","Sync Flows, Files, and KV Stores from GitLab with GitOps Best Practices. Automate GitOps workflows with zero manual effort. Open-source and ready to use.",153
git-flows-files-kv-sync-to-gitlab,Export All Kestra Namespaces to GitLab with Releases for GitOps Best Practices,Export All Kestra Namespaces to GitLab with Releases for GitOps Best Practices. Master Kestra workflow patterns. Open-source and ready to use.,142
git-python,Clone a GitHub repository and run a Python ETL script,Clone a GitHub repository and run a Python ETL script using Docker. Automate this process reliably and focus on what matters. Open-source and ready to use.,155
git-scripts,Clone a GitHub repository and run a Shell script,Clone a GitHub repository and run a Shell script using Docker. Automate this process reliably and focus on what matters. Open-source and ready to use.,150
git-spark,Clone a Git repository with PySpark code and run a Spark job using the Spark Submit CLI,Clone a Git repository with PySpark code and run a Spark job using the Spark Submit CLI using Apache Spark. Automate this process reliably.,139
git-terraform,Deploy Terraform resources defined in a GitHub repository using S3 remote backend,Deploy Terraform resources defined in a GitHub repository using S3 remote backend. Automate this process reliably. Open-source and ready to use.,144
github-push-and-create-pr,Dev to Prod: Push Flows and Files to GitHub and Create a Pull Request to merge into `main`,Dev to Prod: Push Flows and Files to GitHub and Create a Pull Request to merge into `main` using Slack. Automate this process reliably.,135
